ds,Sum of Total_Bookings_Forecast,Sum of Total_Bookings_Lower,Sum of Total_Bookings_Upper,Sum of adr_Forecast,Sum of adr_Lower,Sum of adr_Upper,Sum of revenue_Forecast,Sum of revenue_Lower,Sum of revenue_Upper,Cancellation %_Forecast,Cancellation %_Lower,Cancellation %_Upper
31-07-2015,2888.668726,2646.815527,3118.860139,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-08-2015,3812.668068,3569.729802,4025.535912,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-09-2015,5160.985003,4922.227225,5403.002031,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-10-2015,5031.040543,4790.683614,5257.025116,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-11-2015,2456.928683,2220.326217,2707.904237,12128100.03,12128100.02,12128100.04,32877649.66,32877649.62,32877649.7,0.371373064,0.371373063,0.371373064
31-12-2015,3043.533601,2795.782273,3267.165646,12128100.03,12128100.02,12128100.04,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-01-2016,2365.860543,2136.130101,2607.591567,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
29-02-2016,3490.827974,3239.242642,3731.809139,12128100.03,12128100.02,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-03-2016,4571.903331,4322.000241,4810.26013,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-04-2016,5302.327237,5073.903266,5545.478809,12128100.03,12128100.01,12128100.04,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-05-2016,5440.401976,5205.40919,5679.720474,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-06-2016,5271.627708,5026.674639,5508.808609,12128100.03,12128100.01,12128100.04,32877649.66,32877649.62,32877649.71,0.371373064,0.371373064,0.371373064
31-07-2016,4768.634465,4531.986641,5003.736589,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-08-2016,4807.79299,4579.639153,5040.437187,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-09-2016,5305.224456,5062.910093,5555.843314,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373063,0.371373064
31-10-2016,6062.876332,5815.65936,6290.283724,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-11-2016,4294.797548,4063.5735,4531.58864,12128100.03,12128100.01,12128100.05,32877649.66,32877649.61,32877649.7,0.371373064,0.371373064,0.371373064
31-12-2016,3684.190989,3445.965731,3913.53302,12128100.03,12128100.01,12128100.05,32877649.66,32877649.61,32877649.7,0.371373064,0.371373064,0.371373064
31-01-2017,3507.593223,3276.323374,3754.732347,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
28-02-2017,4522.767047,4272.874729,4759.982769,12128100.03,12128100.02,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-03-2017,5167.99626,4945.81659,5404.651318,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
30-04-2017,5743.554665,5505.063746,6014.692336,12128100.03,12128100.02,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-05-2017,6339.019213,6077.732478,6573.848589,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373063,0.371373064
30-06-2017,5655.347602,5406.265061,5871.774765,12128100.03,12128100.02,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373065
31-07-2017,4970.472111,4739.818362,5214.051846,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-08-2017,5234.528689,4981.899208,5456.685484,12128100.03,12128100.02,12128100.04,32877649.66,32877649.62,32877649.7,0.371373064,0.371373063,0.371373064
30-09-2017,6003.744936,5759.473595,6252.163473,12128100.03,12128100.01,12128100.05,32877649.66,32877649.62,32877649.7,0.371373064,0.371373064,0.371373064
31-10-2017,6450.777385,6215.340769,6691.851721,12128100.03,12128100.01,12128100.05,32877649.66,32877649.61,32877649.7,0.371373064,0.371373063,0.371373065
30-11-2017,4383.341924,4152.859844,4606.159034,12128100.03,12128100,12128100.05,32877649.66,32877649.59,32877649.73,0.371373064,0.371373063,0.371373065
31-12-2017,4146.544783,3911.875231,4381.235874,12128100.03,12128099.99,12128100.07,32877649.66,32877649.56,32877649.75,0.371373064,0.371373063,0.371373065
31-01-2018,3780.855811,3536.76758,4025.054533,12128100.03,12128099.98,12128100.08,32877649.66,32877649.52,32877649.79,0.371373064,0.371373063,0.371373065
28-02-2018,5163.471497,4920.343901,5390.812212,12128100.03,12128099.96,12128100.1,32877649.66,32877649.49,32877649.83,0.371373064,0.371373062,0.371373066
31-03-2018,5434.801169,5183.653195,5690.980998,12128100.03,12128099.95,12128100.11,32877649.66,32877649.45,32877649.86,0.371373064,0.371373062,0.371373066
30-04-2018,5928.536972,5674.530849,6179.906683,12128100.03,12128099.93,12128100.12,32877649.66,32877649.4,32877649.91,0.371373064,0.371373061,0.371373067
31-05-2018,7043.092165,6775.407217,7277.518704,12128100.03,12128099.91,12128100.14,32877649.66,32877649.35,32877649.97,0.371373064,0.371373061,0.371373068
30-06-2018,5901.749797,5649.563616,6143.440168,12128100.03,12128099.89,12128100.17,32877649.66,32877649.3,32877650.01,0.371373064,0.37137306,0.371373068
31-07-2018,5109.660486,4867.77219,5368.168611,12128100.03,12128099.87,12128100.19,32877649.66,32877649.25,32877650.07,0.371373064,0.371373059,0.371373069
31-08-2018,5668.524658,5399.359021,5935.495613,12128100.03,12128099.85,12128100.21,32877649.66,32877649.18,32877650.13,0.371373064,0.371373059,0.37137307
